PID       Core_type    Throughput        Total Power(W)
0 0 10.9945485364 45.05794311382545553672 3390195032.3
0 1 10.9579033878 44.90374421729311872677 3378895414.12
0 2 7.60576770718 39.76236103746335341838 2345256536.21
0 3 5.64055559473 39.32106590397021109779 1739278713.95
1 0 1105.99078341 43.56669481430011828025 1915019723.5
1 1 1095.89041096 43.38499837499747945205 1897530958.9
1 2 869.565217391 39.11085703256939130434 1505666086.96
1 3 779.220779221 38.98581345650373277521 1349233246.75
2 0 102.915951973 43.86867235353839755905 2732769982.85
2 1 102.871838834 43.73266169376772660495 2731595747.96
2 2 71.834780006 39.42384330205534538952 1907459155.94
2 3 70.0934579439 39.36137357230806382810 1861218714.95
3 0 81.4111261872 46.23888865666080687016 3915822170.96
3 1 81.1633412242 46.07969240957740072346 3903903875.55
3 2 45.1637184795 39.62434468736714773099 2172345954.08
3 3 44.0852314475 39.56140806088936475497 2120471418.07
4 0 1142.85714286 42.28418113708297142857 1916262857.14
4 1 1132.0754717 42.11548808847064736154 1898184905.66
4 2 866.42599278 39.07198907788599057306 1452771985.56
4 3 729.483282675 38.90027678626808895267 1223154528.88
